sourcetype,"_raw",host,source,index
"octopus:environment","{""Id"":""Environments-34"",""Name"":""Production"",""Description"":"""",""SortOrder"":2,""UseGuidedFailure"":false,""LastModifiedOn"":""2015-06-01T10:14:01.420+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/environments/Environments-34"",""Machines"":""/api/environments/Environments-34/machines""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:environment","{""Id"":""Environments-33"",""Name"":""UAT"",""Description"":""User Acceptance Testing"",""SortOrder"":1,""UseGuidedFailure"":false,""LastModifiedOn"":""2015-06-01T10:13:51.248+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/environments/Environments-33"",""Machines"":""/api/environments/Environments-33/machines""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:environment","{""Id"":""Environments-1"",""Name"":""Development"",""Description"":"""",""SortOrder"":0,""UseGuidedFailure"":false,""LastModifiedOn"":""2015-04-29T12:14:44.644+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/environments/Environments-1"",""Machines"":""/api/environments/Environments-1/machines""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
