sourcetype,"_raw",host,source,index
"octopus:team","{""Id"":""teams-1"",""Name"":""Project Manager"",""MemberUserIds"":[],""ExternalSecurityGroups"":[],""UserRoleIds"":[],""ProjectIds"":[],""EnvironmentIds"":[],""CanBeDeleted"":true,""CanBeRenamed"":true,""CanChangeRoles"":true,""CanChangeMembers"":true,""LastModifiedOn"":""2015-06-01T10:13:32.013+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/teams/teams-1""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:team","{""Id"":""teams-administrators"",""Name"":""Octopus Administrators"",""MemberUserIds"":[""users-1"",""users-65""],""ExternalSecurityGroups"":[],""UserRoleIds"":[""userroles-systemadministrator""],""ProjectIds"":[],""EnvironmentIds"":[],""CanBeDeleted"":false,""CanBeRenamed"":false,""CanChangeRoles"":false,""CanChangeMembers"":true,""LastModifiedOn"":""2015-07-02T07:57:00.617+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/teams/teams-administrators""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:team","{""Id"":""teams-33"",""Name"":""Managers"",""MemberUserIds"":[""users-67""],""ExternalSecurityGroups"":[],""UserRoleIds"":[""userroles-projectviewer"",""userroles-systemadministrator""],""ProjectIds"":[],""EnvironmentIds"":[],""CanBeDeleted"":true,""CanBeRenamed"":true,""CanChangeRoles"":true,""CanChangeMembers"":true,""LastModifiedOn"":""2015-07-15T11:32:57.570+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/teams/teams-33""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:team","{""Id"":""teams-everyone"",""Name"":""Everyone"",""MemberUserIds"":[""users-1"",""users-34"",""users-65"",""users-66"",""users-67""],""ExternalSecurityGroups"":[],""UserRoleIds"":[],""ProjectIds"":[],""EnvironmentIds"":[],""CanBeDeleted"":false,""CanBeRenamed"":false,""CanChangeRoles"":true,""CanChangeMembers"":false,""Links"":{""Self"":""/api/teams/teams-everyone""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:team","{""Id"":""teams-2"",""Name"":""Developers"",""MemberUserIds"":[],""ExternalSecurityGroups"":[],""UserRoleIds"":[""userroles-packagepublisher""],""ProjectIds"":[],""EnvironmentIds"":[],""CanBeDeleted"":true,""CanBeRenamed"":true,""CanChangeRoles"":true,""CanChangeMembers"":true,""LastModifiedOn"":""2015-06-01T10:17:46.483+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/teams/teams-2""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
"octopus:team","{""Id"":""teams-3"",""Name"":""Audit"",""MemberUserIds"":[""users-34""],""ExternalSecurityGroups"":[],""UserRoleIds"":[""UserRoles-1"",""userroles-systemadministrator""],""ProjectIds"":[],""EnvironmentIds"":[],""CanBeDeleted"":true,""CanBeRenamed"":true,""CanChangeRoles"":true,""CanChangeMembers"":true,""LastModifiedOn"":""2015-06-10T12:19:36.398+00:00"",""LastModifiedBy"":""merbla"",""Links"":{""Self"":""/api/teams/teams-3""}}","localhost.localdomain","octopus_deploy://Local Octopus Deploy","octopus_deploy"
